'sample interval','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
4513,0.386,0.787,0.402,-0.587,-0.008,0.595,-0.100,-0.417,-0.067,-0.196,-0.492,-0.141,-0.228,0.438,0.125
4514,0.384,0.780,0.398,-0.582,-0.007,0.589,-0.101,-0.418,-0.065,-0.195,-0.495,-0.145,-0.227,0.432,0.122
4515,0.390,0.782,0.393,-0.586,-0.002,0.588,-0.096,-0.410,-0.059,-0.191,-0.493,-0.146,-0.232,0.431,0.114
4516,0.393,0.775,0.383,-0.584,0.005,0.579,-0.090,-0.404,-0.051,-0.189,-0.488,-0.141,-0.224,0.433,0.115
4517,0.393,0.770,0.378,-0.581,0.007,0.574,-0.086,-0.397,-0.046,-0.187,-0.489,-0.144,-0.221,0.426,0.115
4518,0.388,0.758,0.370,-0.573,0.009,0.564,-0.084,-0.395,-0.043,-0.188,-0.492,-0.150,-0.222,0.425,0.113
4519,0.394,0.758,0.365,-0.576,0.014,0.561,-0.078,-0.389,-0.035,-0.181,-0.488,-0.150,-0.224,0.424,0.105
4520,0.394,0.757,0.363,-0.576,0.015,0.560,-0.072,-0.380,-0.024,-0.173,-0.485,-0.151,-0.230,0.417,0.099
4521,0.379,0.736,0.356,-0.557,0.011,0.546,-0.069,-0.378,-0.021,-0.174,-0.486,-0.154,-0.227,0.411,0.100
4522,0.397,0.752,0.356,-0.574,0.021,0.554,-0.055,-0.362,-0.005,-0.161,-0.474,-0.147,-0.220,0.408,0.092
4523,0.417,0.767,0.350,-0.593,0.034,0.559,-0.043,-0.347,0.011,-0.146,-0.463,-0.140,-0.215,0.405,0.084
4524,0.410,0.749,0.340,-0.580,0.035,0.544,-0.041,-0.341,0.017,-0.141,-0.462,-0.142,-0.215,0.396,0.082
4525,0.406,0.739,0.334,-0.573,0.036,0.536,-0.043,-0.340,0.021,-0.139,-0.458,-0.144,-0.210,0.390,0.078
4526,0.416,0.744,0.329,-0.580,0.043,0.536,-0.037,-0.334,0.030,-0.135,-0.458,-0.148,-0.208,0.394,0.072
4527,0.410,0.738,0.328,-0.574,0.042,0.532,-0.025,-0.317,0.045,-0.122,-0.450,-0.144,-0.208,0.390,0.066
4528,0.411,0.733,0.322,-0.572,0.044,0.527,-0.021,-0.313,0.054,-0.115,-0.444,-0.141,-0.204,0.384,0.060
4529,0.410,0.724,0.314,-0.567,0.049,0.518,-0.019,-0.309,0.062,-0.110,-0.443,-0.141,-0.201,0.373,0.058
4530,0.406,0.714,0.308,-0.560,0.049,0.511,-0.005,-0.295,0.075,-0.100,-0.438,-0.144,-0.202,0.371,0.056
4531,0.416,0.726,0.310,-0.571,0.053,0.517,0.006,-0.282,0.091,-0.087,-0.424,-0.133,-0.195,0.374,0.048
4532,0.428,0.730,0.302,-0.579,0.063,0.515,0.001,-0.278,0.105,-0.076,-0.415,-0.124,-0.187,0.369,0.042
4533,0.432,0.718,0.285,-0.575,0.073,0.501,0.011,-0.269,0.113,-0.074,-0.419,-0.141,-0.193,0.362,0.038
4534,0.436,0.718,0.282,-0.577,0.077,0.500,0.030,-0.252,0.128,-0.063,-0.414,-0.141,-0.193,0.358,0.030
4535,0.453,0.724,0.272,-0.588,0.090,0.498,0.034,-0.243,0.141,-0.052,-0.407,-0.136,-0.188,0.362,0.018
4536,0.441,0.704,0.263,-0.573,0.089,0.483,0.035,-0.238,0.148,-0.051,-0.406,-0.140,-0.187,0.352,0.013
4537,0.421,0.695,0.274,-0.558,0.074,0.484,0.048,-0.229,0.163,-0.041,-0.399,-0.138,-0.186,0.348,0.009
4538,0.424,0.697,0.273,-0.560,0.076,0.484,0.056,-0.221,0.177,-0.026,-0.389,-0.133,-0.179,0.344,0.002
4539,0.431,0.691,0.260,-0.561,0.086,0.475,0.049,-0.219,0.186,-0.018,-0.382,-0.131,-0.175,0.337,-0.004
4540,0.445,0.697,0.253,-0.571,0.096,0.475,0.062,-0.203,0.201,-0.007,-0.378,-0.131,-0.186,0.344,-0.020
4541,0.445,0.691,0.247,-0.568,0.099,0.469,0.074,-0.185,0.220,0.008,-0.364,-0.122,-0.174,0.343,-0.021
4542,0.439,0.673,0.234,-0.556,0.102,0.454,0.080,-0.179,0.229,0.013,-0.359,-0.119,-0.156,0.323,-0.017
4543,0.453,0.671,0.220,-0.562,0.117,0.446,0.086,-0.171,0.237,0.021,-0.359,-0.126,-0.162,0.309,-0.025
4544,0.463,0.675,0.213,-0.569,0.125,0.444,0.096,-0.158,0.255,0.036,-0.346,-0.121,-0.162,0.308,-0.036
4545,0.458,0.665,0.207,-0.561,0.126,0.436,0.103,-0.151,0.265,0.044,-0.343,-0.121,-0.159,0.309,-0.041
4546,0.460,0.662,0.203,-0.560,0.128,0.432,0.097,-0.152,0.273,0.052,-0.338,-0.119,-0.151,0.307,-0.048
4547,0.465,0.662,0.198,-0.563,0.133,0.430,0.119,-0.129,0.294,0.070,-0.322,-0.110,-0.145,0.311,-0.055
4548,0.468,0.661,0.194,-0.564,0.137,0.427,0.132,-0.117,0.308,0.081,-0.314,-0.108,-0.146,0.307,-0.061
4549,0.468,0.655,0.188,-0.561,0.140,0.421,0.133,-0.114,0.316,0.087,-0.311,-0.107,-0.145,0.293,-0.068
4550,0.470,0.650,0.181,-0.560,0.144,0.415,0.142,-0.101,0.332,0.101,-0.301,-0.103,-0.140,0.291,-0.071
4551,0.470,0.653,0.183,-0.561,0.143,0.418,0.142,-0.096,0.342,0.111,-0.297,-0.104,-0.138,0.286,-0.075
4552,0.474,0.652,0.178,-0.564,0.148,0.415,0.151,-0.086,0.351,0.118,-0.295,-0.109,-0.132,0.285,-0.079
4553,0.483,0.654,0.172,-0.569,0.156,0.413,0.154,-0.080,0.366,0.131,-0.284,-0.101,-0.123,0.286,-0.089
4554,0.476,0.649,0.173,-0.562,0.151,0.411,0.158,-0.074,0.374,0.137,-0.282,-0.102,-0.118,0.288,-0.093
4555,0.476,0.646,0.171,-0.561,0.152,0.409,0.166,-0.067,0.383,0.143,-0.279,-0.107,-0.120,0.284,-0.096
4556,0.490,0.649,0.159,-0.570,0.166,0.405,0.170,-0.059,0.396,0.155,-0.269,-0.101,-0.117,0.277,-0.105
4557,0.490,0.648,0.158,-0.570,0.167,0.403,0.169,-0.055,0.402,0.160,-0.267,-0.106,-0.116,0.279,-0.110
4558,0.491,0.651,0.161,-0.572,0.165,0.406,0.173,-0.049,0.413,0.171,-0.255,-0.103,-0.111,0.280,-0.117
4559,0.495,0.650,0.156,-0.573,0.170,0.403,0.180,-0.038,0.426,0.182,-0.243,-0.095,-0.105,0.280,-0.119
4560,0.486,0.643,0.157,-0.565,0.165,0.400,0.188,-0.031,0.436,0.188,-0.241,-0.100,-0.109,0.276,-0.121
4561,0.488,0.647,0.160,-0.568,0.165,0.403,0.198,-0.021,0.453,0.202,-0.230,-0.092,-0.104,0.277,-0.133
4562,0.483,0.639,0.156,-0.561,0.164,0.398,0.197,-0.019,0.456,0.206,-0.226,-0.091,-0.101,0.264,-0.135
4563,0.482,0.633,0.152,-0.558,0.165,0.393,0.194,-0.020,0.457,0.209,-0.223,-0.092,-0.099,0.260,-0.140
4564,0.491,0.638,0.147,-0.565,0.172,0.393,0.204,-0.011,0.469,0.222,-0.213,-0.095,-0.101,0.266,-0.150
4565,0.487,0.627,0.140,-0.557,0.173,0.384,0.206,-0.006,0.474,0.225,-0.212,-0.102,-0.101,0.262,-0.149
4566,0.500,0.632,0.133,-0.567,0.183,0.383,0.208,-0.001,0.483,0.231,-0.207,-0.091,-0.090,0.259,-0.151
4567,0.508,0.636,0.129,-0.572,0.190,0.383,0.217,0.009,0.495,0.244,-0.197,-0.079,-0.087,0.247,-0.156
4568,0.495,0.624,0.129,-0.559,0.183,0.377,0.218,0.011,0.499,0.248,-0.195,-0.083,-0.085,0.247,-0.156
4569,0.483,0.609,0.126,-0.546,0.178,0.367,0.218,0.011,0.502,0.250,-0.194,-0.086,-0.085,0.252,-0.157
4570,0.478,0.604,0.126,-0.541,0.176,0.365,0.222,0.017,0.512,0.256,-0.187,-0.084,-0.085,0.261,-0.160
4571,0.495,0.621,0.126,-0.558,0.184,0.373,0.229,0.022,0.523,0.267,-0.177,-0.075,-0.082,0.275,-0.167
4572,0.501,0.627,0.126,-0.564,0.188,0.377,0.231,0.028,0.530,0.273,-0.176,-0.077,-0.084,0.275,-0.171
4573,0.513,0.629,0.117,-0.572,0.199,0.373,0.233,0.034,0.534,0.274,-0.177,-0.082,-0.081,0.259,-0.170
4574,0.529,0.640,0.111,-0.585,0.209,0.376,0.236,0.040,0.543,0.283,-0.169,-0.073,-0.072,0.265,-0.172
4575,0.514,0.636,0.122,-0.575,0.196,0.379,0.236,0.040,0.552,0.294,-0.160,-0.066,-0.065,0.272,-0.177
4576,0.499,0.620,0.121,-0.560,0.190,0.370,0.234,0.036,0.553,0.293,-0.159,-0.068,-0.068,0.256,-0.179
4577,0.500,0.613,0.113,-0.556,0.194,0.363,0.224,0.029,0.550,0.289,-0.165,-0.077,-0.070,0.256,-0.178
4578,0.502,0.615,0.114,-0.558,0.194,0.364,0.240,0.040,0.561,0.296,-0.160,-0.074,-0.062,0.256,-0.179
4579,0.503,0.618,0.116,-0.561,0.194,0.367,0.252,0.049,0.568,0.301,-0.158,-0.072,-0.065,0.256,-0.184
4580,0.507,0.618,0.111,-0.563,0.199,0.364,0.246,0.051,0.571,0.304,-0.155,-0.072,-0.062,0.258,-0.188
4581,0.514,0.614,0.100,-0.564,0.207,0.357,0.247,0.057,0.580,0.311,-0.148,-0.066,-0.051,0.253,-0.188
4582,0.510,0.611,0.101,-0.561,0.205,0.356,0.248,0.057,0.585,0.318,-0.145,-0.065,-0.051,0.252,-0.194
4583,0.510,0.615,0.105,-0.562,0.202,0.360,0.255,0.061,0.593,0.323,-0.140,-0.065,-0.052,0.256,-0.198
4584,0.507,0.615,0.108,-0.561,0.200,0.361,0.253,0.062,0.595,0.326,-0.137,-0.063,-0.050,0.253,-0.200
4585,0.505,0.618,0.113,-0.561,0.197,0.364,0.255,0.063,0.597,0.330,-0.135,-0.061,-0.053,0.247,-0.204
4586,0.507,0.620,0.113,-0.564,0.198,0.366,0.254,0.061,0.600,0.332,-0.132,-0.062,-0.051,0.248,-0.203
4587,0.509,0.614,0.104,-0.561,0.203,0.359,0.261,0.070,0.607,0.335,-0.130,-0.069,-0.051,0.243,-0.199
4588,0.519,0.618,0.099,-0.569,0.210,0.358,0.262,0.072,0.611,0.340,-0.129,-0.066,-0.052,0.239,-0.201
4589,0.522,0.621,0.099,-0.572,0.212,0.360,0.260,0.064,0.613,0.343,-0.128,-0.065,-0.053,0.239,-0.203
4590,0.513,0.612,0.098,-0.562,0.207,0.355,0.267,0.074,0.617,0.345,-0.125,-0.066,-0.053,0.240,-0.203
4591,0.501,0.602,0.101,-0.551,0.200,0.351,0.264,0.075,0.616,0.344,-0.124,-0.062,-0.050,0.244,-0.208
4592,0.505,0.604,0.100,-0.554,0.203,0.351,0.266,0.075,0.619,0.348,-0.126,-0.069,-0.052,0.235,-0.212
4593,0.517,0.616,0.099,-0.567,0.209,0.357,0.262,0.078,0.625,0.354,-0.118,-0.059,-0.045,0.238,-0.212
4594,0.526,0.620,0.095,-0.573,0.215,0.357,0.260,0.077,0.626,0.355,-0.115,-0.056,-0.042,0.251,-0.212
4595,0.526,0.624,0.099,-0.575,0.213,0.361,0.269,0.086,0.633,0.360,-0.114,-0.061,-0.056,0.252,-0.221
4596,0.527,0.627,0.100,-0.578,0.214,0.363,0.276,0.092,0.639,0.366,-0.107,-0.054,-0.051,0.238,-0.222
4597,0.530,0.623,0.093,-0.577,0.219,0.358,0.271,0.090,0.635,0.362,-0.111,-0.059,-0.036,0.229,-0.214
4598,0.531,0.626,0.095,-0.579,0.218,0.360,0.267,0.090,0.636,0.364,-0.110,-0.059,-0.046,0.241,-0.228
4599,0.531,0.624,0.093,-0.578,0.220,0.358,0.267,0.091,0.640,0.366,-0.107,-0.060,-0.049,0.246,-0.228
4600,0.516,0.617,0.101,-0.567,0.208,0.359,0.269,0.087,0.640,0.367,-0.107,-0.062,-0.038,0.239,-0.222
4601,0.515,0.620,0.105,-0.568,0.205,0.362,0.269,0.086,0.642,0.371,-0.106,-0.064,-0.043,0.239,-0.225
4602,0.512,0.611,0.100,-0.561,0.206,0.355,0.266,0.086,0.638,0.368,-0.108,-0.066,-0.040,0.236,-0.222
4603,0.502,0.608,0.106,-0.555,0.198,0.357,0.274,0.088,0.640,0.371,-0.106,-0.066,-0.045,0.253,-0.228
4604,0.509,0.617,0.108,-0.564,0.201,0.362,0.279,0.095,0.650,0.379,-0.101,-0.064,-0.049,0.258,-0.233
4605,0.512,0.614,0.102,-0.563,0.204,0.358,0.275,0.094,0.650,0.379,-0.099,-0.059,-0.037,0.252,-0.227
4606,0.509,0.610,0.102,-0.559,0.203,0.356,0.274,0.089,0.647,0.376,-0.103,-0.064,-0.040,0.254,-0.227
4607,0.505,0.610,0.105,-0.558,0.201,0.357,0.276,0.093,0.653,0.381,-0.101,-0.059,-0.040,0.253,-0.230
4608,0.513,0.614,0.101,-0.564,0.206,0.357,0.278,0.097,0.657,0.383,-0.099,-0.056,-0.039,0.254,-0.231
4609,0.515,0.611,0.096,-0.563,0.209,0.353,0.279,0.093,0.651,0.377,-0.103,-0.061,-0.040,0.246,-0.231
4610,0.519,0.608,0.089,-0.564,0.215,0.348,0.274,0.092,0.652,0.378,-0.102,-0.059,-0.035,0.245,-0.230
4611,0.523,0.612,0.089,-0.568,0.217,0.350,0.278,0.100,0.658,0.385,-0.096,-0.053,-0.034,0.243,-0.230
4612,0.514,0.620,0.106,-0.567,0.204,0.363,0.282,0.101,0.659,0.387,-0.096,-0.051,-0.036,0.246,-0.233
4613,0.520,0.625,0.106,-0.573,0.207,0.366,0.278,0.098,0.660,0.385,-0.098,-0.058,-0.036,0.250,-0.231
4614,0.522,0.629,0.106,-0.576,0.208,0.368,0.281,0.097,0.659,0.387,-0.093,-0.051,-0.029,0.254,-0.231
4615,0.521,0.625,0.105,-0.574,0.208,0.365,0.282,0.098,0.657,0.386,-0.093,-0.057,-0.034,0.256,-0.231
4616,0.512,0.620,0.109,-0.566,0.202,0.364,0.281,0.100,0.661,0.386,-0.095,-0.067,-0.044,0.258,-0.228
4617,0.512,0.628,0.116,-0.571,0.199,0.372,0.277,0.096,0.660,0.386,-0.096,-0.060,-0.036,0.270,-0.230
4618,0.514,0.632,0.118,-0.573,0.198,0.375,0.282,0.101,0.662,0.389,-0.095,-0.055,-0.033,0.264,-0.231
4619,0.516,0.633,0.118,-0.575,0.199,0.376,0.281,0.100,0.664,0.393,-0.093,-0.053,-0.036,0.266,-0.235
4620,0.512,0.624,0.113,-0.568,0.200,0.368,0.278,0.096,0.659,0.389,-0.098,-0.058,-0.035,0.266,-0.234
4621,0.512,0.621,0.110,-0.567,0.201,0.365,0.273,0.094,0.658,0.388,-0.102,-0.059,-0.037,0.252,-0.234
4622,0.533,0.629,0.097,-0.582,0.218,0.363,0.261,0.089,0.660,0.389,-0.100,-0.053,-0.035,0.241,-0.235
4623,0.525,0.636,0.112,-0.581,0.206,0.373,0.288,0.107,0.670,0.398,-0.090,-0.037,-0.028,0.271,-0.240
4624,0.520,0.640,0.120,-0.580,0.200,0.380,0.298,0.114,0.678,0.406,-0.086,-0.039,-0.037,0.276,-0.252
4625,0.519,0.622,0.104,-0.571,0.207,0.363,0.280,0.101,0.665,0.394,-0.098,-0.059,-0.036,0.247,-0.234
4626,0.508,0.617,0.110,-0.562,0.200,0.363,0.276,0.092,0.661,0.391,-0.101,-0.055,-0.027,0.247,-0.226
4627,0.513,0.619,0.106,-0.566,0.203,0.363,0.278,0.095,0.664,0.395,-0.095,-0.050,-0.035,0.242,-0.235
4628,0.516,0.615,0.100,-0.566,0.208,0.357,0.281,0.104,0.660,0.391,-0.098,-0.049,-0.032,0.244,-0.234
4629,0.513,0.617,0.105,-0.565,0.204,0.361,0.282,0.105,0.664,0.395,-0.093,-0.042,-0.028,0.251,-0.239
4630,0.521,0.626,0.105,-0.573,0.207,0.366,0.282,0.105,0.665,0.399,-0.088,-0.044,-0.029,0.253,-0.237
4631,0.527,0.628,0.102,-0.578,0.212,0.365,0.280,0.105,0.668,0.402,-0.090,-0.044,-0.032,0.256,-0.237
4632,0.534,0.638,0.105,-0.587,0.214,0.372,0.280,0.106,0.676,0.407,-0.083,-0.036,-0.029,0.258,-0.241
4633,0.531,0.635,0.104,-0.583,0.214,0.369,0.281,0.105,0.673,0.401,-0.087,-0.045,-0.033,0.249,-0.237
4634,0.525,0.624,0.100,-0.575,0.212,0.361,0.274,0.100,0.665,0.393,-0.099,-0.055,-0.032,0.249,-0.232
4635,0.522,0.627,0.105,-0.575,0.208,0.366,0.273,0.101,0.669,0.399,-0.092,-0.049,-0.027,0.256,-0.234
4636,0.500,0.609,0.109,-0.554,0.196,0.358,0.274,0.096,0.665,0.397,-0.096,-0.053,-0.034,0.247,-0.234
4637,0.507,0.615,0.108,-0.561,0.200,0.361,0.272,0.093,0.661,0.394,-0.098,-0.053,-0.028,0.247,-0.234
4638,0.523,0.631,0.108,-0.578,0.207,0.369,0.276,0.097,0.668,0.397,-0.092,-0.050,-0.027,0.252,-0.239
4639,0.515,0.633,0.119,-0.574,0.198,0.377,0.278,0.100,0.673,0.401,-0.091,-0.051,-0.032,0.261,-0.240
4640,0.509,0.632,0.123,-0.571,0.194,0.378,0.274,0.096,0.669,0.400,-0.092,-0.050,-0.030,0.261,-0.239
4641,0.504,0.623,0.118,-0.564,0.193,0.370,0.273,0.096,0.666,0.398,-0.095,-0.052,-0.033,0.256,-0.235
4642,0.498,0.622,0.124,-0.559,0.187,0.373,0.278,0.102,0.671,0.402,-0.091,-0.049,-0.035,0.256,-0.240
4643,0.505,0.625,0.121,-0.566,0.192,0.373,0.269,0.095,0.671,0.402,-0.087,-0.049,-0.033,0.249,-0.242
4644,0.516,0.630,0.114,-0.573,0.201,0.372,0.271,0.098,0.672,0.403,-0.086,-0.047,-0.025,0.239,-0.235
4645,0.520,0.630,0.111,-0.575,0.205,0.370,0.281,0.102,0.673,0.404,-0.088,-0.045,-0.025,0.247,-0.239
4646,0.515,0.627,0.113,-0.571,0.201,0.370,0.272,0.094,0.669,0.401,-0.089,-0.047,-0.029,0.250,-0.242
4647,0.503,0.618,0.116,-0.560,0.194,0.366,0.275,0.093,0.671,0.403,-0.087,-0.040,-0.029,0.242,-0.240
4648,0.508,0.620,0.112,-0.565,0.198,0.366,0.276,0.095,0.671,0.401,-0.088,-0.044,-0.032,0.242,-0.237
4649,0.511,0.621,0.111,-0.566,0.201,0.365,0.268,0.092,0.670,0.398,-0.091,-0.056,-0.037,0.242,-0.237
4650,0.511,0.622,0.111,-0.567,0.200,0.366,0.277,0.096,0.673,0.402,-0.088,-0.051,-0.035,0.262,-0.242
4651,0.517,0.630,0.114,-0.574,0.202,0.372,0.279,0.098,0.674,0.403,-0.080,-0.038,-0.029,0.262,-0.243
4652,0.523,0.633,0.111,-0.578,0.206,0.371,0.278,0.098,0.673,0.402,-0.083,-0.042,-0.029,0.246,-0.236
4653,0.530,0.636,0.106,-0.583,0.212,0.371,0.278,0.103,0.673,0.401,-0.086,-0.051,-0.028,0.256,-0.234
4654,0.529,0.639,0.111,-0.585,0.209,0.375,0.275,0.101,0.674,0.401,-0.084,-0.047,-0.025,0.262,-0.234
4655,0.514,0.621,0.107,-0.567,0.203,0.363,0.269,0.094,0.667,0.396,-0.089,-0.053,-0.025,0.256,-0.226
4656,0.512,0.617,0.105,-0.564,0.203,0.360,0.268,0.090,0.667,0.395,-0.088,-0.053,-0.029,0.258,-0.235
4657,0.521,0.637,0.117,-0.580,0.203,0.377,0.274,0.093,0.677,0.406,-0.078,-0.046,-0.024,0.264,-0.244
4658,0.514,0.626,0.113,-0.571,0.201,0.370,0.271,0.092,0.673,0.402,-0.080,-0.050,-0.023,0.256,-0.235
4659,0.514,0.627,0.113,-0.571,0.201,0.370,0.268,0.091,0.671,0.401,-0.083,-0.051,-0.024,0.258,-0.234
4660,0.517,0.629,0.113,-0.573,0.203,0.371,0.263,0.086,0.669,0.401,-0.084,-0.051,-0.024,0.258,-0.236
4661,0.513,0.622,0.108,-0.568,0.203,0.365,0.262,0.083,0.663,0.397,-0.087,-0.054,-0.030,0.248,-0.236
4662,0.507,0.621,0.114,-0.564,0.197,0.367,0.270,0.092,0.671,0.402,-0.084,-0.051,-0.028,0.251,-0.231
4663,0.512,0.627,0.116,-0.570,0.198,0.371,0.272,0.096,0.672,0.405,-0.082,-0.049,-0.026,0.263,-0.236
4664,0.525,0.633,0.108,-0.580,0.208,0.370,0.271,0.094,0.669,0.403,-0.084,-0.048,-0.029,0.262,-0.241
4665,0.524,0.638,0.115,-0.582,0.205,0.377,0.271,0.095,0.675,0.407,-0.076,-0.040,-0.028,0.262,-0.241
4666,0.514,0.642,0.128,-0.579,0.194,0.385,0.271,0.096,0.678,0.411,-0.073,-0.035,-0.022,0.274,-0.241
4667,0.510,0.627,0.118,-0.569,0.196,0.372,0.269,0.093,0.671,0.404,-0.080,-0.043,-0.025,0.254,-0.233
4668,0.521,0.630,0.110,-0.576,0.206,0.370,0.269,0.092,0.666,0.400,-0.084,-0.046,-0.027,0.245,-0.232
4669,0.517,0.630,0.114,-0.574,0.202,0.372,0.270,0.095,0.669,0.403,-0.084,-0.044,-0.028,0.250,-0.235
4670,0.511,0.631,0.120,-0.571,0.195,0.376,0.272,0.096,0.670,0.404,-0.084,-0.045,-0.032,0.259,-0.238
4671,0.513,0.637,0.124,-0.575,0.194,0.381,0.274,0.094,0.668,0.404,-0.080,-0.041,-0.027,0.263,-0.234
4672,0.519,0.628,0.110,-0.574,0.205,0.369,0.267,0.089,0.664,0.398,-0.083,-0.041,-0.021,0.249,-0.225
4673,0.529,0.635,0.106,-0.583,0.211,0.371,0.265,0.090,0.664,0.398,-0.085,-0.040,-0.024,0.248,-0.230
4674,0.518,0.637,0.119,-0.578,0.200,0.378,0.268,0.090,0.667,0.399,-0.083,-0.040,-0.026,0.256,-0.232
4675,0.501,0.625,0.123,-0.563,0.190,0.373,0.263,0.086,0.660,0.394,-0.088,-0.046,-0.025,0.264,-0.229
4676,0.493,0.619,0.126,-0.556,0.183,0.372,0.263,0.085,0.661,0.393,-0.090,-0.044,-0.026,0.265,-0.232
4677,0.504,0.623,0.120,-0.564,0.192,0.371,0.261,0.083,0.657,0.388,-0.095,-0.051,-0.029,0.258,-0.231
4678,0.507,0.625,0.118,-0.567,0.195,0.372,0.261,0.084,0.659,0.389,-0.092,-0.050,-0.025,0.256,-0.232
4679,0.514,0.629,0.116,-0.572,0.199,0.373,0.264,0.086,0.663,0.394,-0.084,-0.041,-0.019,0.264,-0.232
4680,0.515,0.629,0.115,-0.573,0.201,0.372,0.259,0.079,0.659,0.392,-0.086,-0.043,-0.023,0.264,-0.230
4681,0.505,0.626,0.121,-0.566,0.192,0.374,0.261,0.081,0.659,0.391,-0.087,-0.046,-0.024,0.268,-0.234
4682,0.504,0.621,0.117,-0.562,0.194,0.369,0.255,0.081,0.655,0.387,-0.090,-0.050,-0.021,0.266,-0.233
4683,0.500,0.617,0.117,-0.558,0.192,0.367,0.252,0.074,0.654,0.384,-0.089,-0.050,-0.022,0.258,-0.231
4684,0.491,0.614,0.123,-0.553,0.184,0.368,0.266,0.083,0.659,0.388,-0.087,-0.045,-0.024,0.264,-0.234
4685,0.492,0.615,0.122,-0.553,0.185,0.368,0.265,0.081,0.659,0.392,-0.084,-0.042,-0.022,0.269,-0.235
4686,0.503,0.621,0.119,-0.562,0.192,0.370,0.261,0.078,0.657,0.389,-0.088,-0.044,-0.024,0.264,-0.233
4687,0.504,0.617,0.113,-0.560,0.196,0.364,0.270,0.087,0.660,0.390,-0.089,-0.043,-0.025,0.253,-0.231
4688,0.505,0.622,0.117,-0.564,0.194,0.369,0.268,0.085,0.658,0.389,-0.086,-0.043,-0.026,0.254,-0.231
4689,0.508,0.627,0.120,-0.568,0.195,0.374,0.261,0.079,0.656,0.387,-0.086,-0.045,-0.025,0.252,-0.230
4690,0.513,0.624,0.112,-0.569,0.201,0.368,0.266,0.083,0.658,0.390,-0.085,-0.044,-0.024,0.253,-0.231
4691,0.509,0.621,0.112,-0.565,0.199,0.366,0.265,0.083,0.656,0.390,-0.088,-0.048,-0.030,0.253,-0.234
4692,0.495,0.613,0.118,-0.554,0.188,0.366,0.267,0.083,0.655,0.389,-0.090,-0.050,-0.035,0.255,-0.238
4693,0.501,0.617,0.116,-0.559,0.193,0.366,0.266,0.086,0.656,0.389,-0.088,-0.048,-0.034,0.258,-0.235
4694,0.516,0.626,0.111,-0.572,0.203,0.368,0.248,0.076,0.653,0.389,-0.089,-0.049,-0.029,0.246,-0.228
4695,0.508,0.619,0.112,-0.564,0.198,0.365,0.261,0.079,0.653,0.388,-0.090,-0.050,-0.029,0.246,-0.232
4696,0.505,0.614,0.109,-0.559,0.199,0.361,0.270,0.085,0.655,0.388,-0.091,-0.051,-0.030,0.253,-0.233
4697,0.495,0.618,0.123,-0.556,0.186,0.370,0.256,0.076,0.650,0.385,-0.095,-0.057,-0.045,0.267,-0.237
4698,0.501,0.625,0.124,-0.563,0.188,0.375,0.261,0.083,0.654,0.389,-0.093,-0.051,-0.044,0.262,-0.238
4699,0.511,0.622,0.111,-0.567,0.201,0.366,0.264,0.087,0.656,0.388,-0.096,-0.051,-0.028,0.247,-0.229
4700,0.491,0.607,0.117,-0.549,0.188,0.361,0.260,0.081,0.653,0.386,-0.096,-0.049,-0.026,0.251,-0.232
4701,0.495,0.609,0.114,-0.551,0.191,0.361,0.261,0.083,0.654,0.388,-0.094,-0.046,-0.027,0.248,-0.233
4702,0.501,0.608,0.108,-0.554,0.197,0.358,0.260,0.082,0.651,0.383,-0.100,-0.052,-0.033,0.244,-0.231
4703,0.502,0.612,0.110,-0.556,0.196,0.360,0.260,0.081,0.652,0.384,-0.098,-0.047,-0.030,0.260,-0.230
4704,0.503,0.613,0.111,-0.558,0.196,0.361,0.262,0.084,0.653,0.385,-0.095,-0.045,-0.029,0.265,-0.229
4705,0.504,0.615,0.112,-0.560,0.197,0.363,0.261,0.083,0.653,0.387,-0.093,-0.043,-0.029,0.251,-0.229
4706,0.519,0.625,0.106,-0.573,0.206,0.366,0.260,0.082,0.652,0.386,-0.097,-0.047,-0.028,0.258,-0.231
4707,0.517,0.620,0.103,-0.569,0.207,0.361,0.263,0.083,0.652,0.386,-0.097,-0.052,-0.036,0.255,-0.231
4708,0.518,0.622,0.104,-0.571,0.207,0.363,0.267,0.083,0.653,0.390,-0.090,-0.048,-0.033,0.249,-0.228
4709,0.526,0.630,0.104,-0.579,0.211,0.367,0.264,0.083,0.652,0.390,-0.086,-0.042,-0.029,0.239,-0.228
4710,0.509,0.620,0.111,-0.565,0.199,0.365,0.259,0.078,0.650,0.387,-0.091,-0.045,-0.035,0.241,-0.230
4711,0.489,0.606,0.117,-0.547,0.186,0.361,0.260,0.074,0.647,0.382,-0.098,-0.054,-0.042,0.256,-0.235
4712,0.502,0.608,0.106,-0.555,0.198,0.357,0.261,0.078,0.648,0.383,-0.096,-0.051,-0.034,0.247,-0.234
4713,0.510,0.617,0.107,-0.564,0.202,0.362,0.257,0.083,0.652,0.386,-0.091,-0.042,-0.021,0.256,-0.230
4714,0.506,0.622,0.116,-0.564,0.195,0.368,0.259,0.080,0.648,0.383,-0.097,-0.050,-0.030,0.262,-0.229
4715,0.514,0.621,0.107,-0.568,0.204,0.364,0.257,0.073,0.643,0.380,-0.099,-0.054,-0.033,0.254,-0.225
